ZIP	Name	Rate
563792800	State. Benton County Transit, St Cloud Area	7.875
563792910	State. Benton County Transit, St Cloud Area	7.875
563792911	State. Benton County Transit	7.375
563792913	State. Benton County Transit, St Cloud Area	7.875
563792934	State. Benton County Transit, St Cloud Area	7.875
563793000	State. Benton County Transit	7.375
563793003	State. Benton County Transit	7.375
563793004	State. Benton County Transit, St Cloud Area	7.875
563794000	State. Benton County Transit, St Cloud Area	7.875
563794100	State. Benton County Transit	7.375
563794400	State. Benton County Transit	7.375
563794401	State. Benton County Transit, St Cloud Area	7.875
563794423	State. Benton County Transit, St Cloud Area	7.875
563794424	State. Benton County Transit	7.375
563794425	State. Benton County Transit	7.375
563794500	State. Benton County Transit, St Cloud Area	7.875
563794501	State. Benton County Transit	7.375
563794502	State. Benton County Transit, St Cloud Area	7.875
563794506	State. Benton County Transit, St Cloud Area	7.875
563794507	State. Benton County Transit	7.375
563794526	State. Benton County Transit	7.375
563794528	State. Benton County Transit, St Cloud Area	7.875
563794546	State. Benton County Transit, St Cloud Area	7.875
563794547	State. Benton County Transit	7.375
563794553	State. Benton County Transit	7.375
563794554	State. Benton County Transit, St Cloud Area	7.875
563794558	State. Benton County Transit, St Cloud Area	7.875
563794559	State. Benton County Transit	7.375
563794560	State. Benton County Transit, St Cloud Area	7.875
563794580	State. Benton County Transit, St Cloud Area	7.875
563794581	State. Benton County Transit	7.375
563794582	State. Benton County Transit, St Cloud Area	7.875
563794583	State. Benton County Transit	7.375
563794584	State, Stearns, St Cloud Area	7.625
563794585	State, Stearns, St Cloud Area	7.625
563794586	State. Benton County Transit, St Cloud Area	7.875
563794589	State. Benton County Transit, St Cloud Area	7.875
563794590	State. Benton County Transit	7.375
563794592	State. Benton County Transit	7.375
563794594	State. Benton County Transit, St Cloud Area	7.875
563794596	State. Benton County Transit, St Cloud Area	7.875
563794597	State. Benton County Transit	7.375
563794607	State. Benton County Transit	7.375
563794608	State. Benton County Transit, St Cloud Area	7.875
563794609	State. Benton County Transit, St Cloud Area	7.875
563794610	State. Benton County Transit	7.375
563794632	State. Benton County Transit	7.375
563794633	State. Benton County Transit, St Cloud Area	7.875
563794637	State. Benton County Transit, St Cloud Area	7.875
563794638	State. Benton County Transit	7.375
563794640	State. Benton County Transit	7.375
563794641	State. Benton County Transit, St Cloud Area	7.875
563794642	State. Benton County Transit	7.375
563794644	State. Benton County Transit	7.375
563794645	State. Benton County Transit, St Cloud Area	7.875
563794653	State. Benton County Transit, St Cloud Area	7.875
563794654	State. Benton County Transit	7.375
563794655	State. Benton County Transit, St Cloud Area	7.875
563794656	State. Benton County Transit	7.375
563794660	State. Benton County Transit	7.375
563794661	State. Benton County Transit, St Cloud Area	7.875
563794668	State. Benton County Transit, St Cloud Area	7.875
563794669	State. Benton County Transit	7.375
563795000	State. Benton County Transit	7.375
563795001	State. Benton County Transit, St Cloud Area	7.875
563795005	State. Benton County Transit, St Cloud Area	7.875
563795800	State. Benton County Transit	7.375
563795801	State. Benton County Transit, St Cloud Area	7.875
563795812	State. Benton County Transit, St Cloud Area	7.875
563796500	State. Benton County Transit	7.375
563797100	State. Benton County Transit, St Cloud Area	7.875
563797101	State. Benton County Transit, St Cloud Area	7.875
563797500	State. Benton County Transit	7.375
563797706	State. Benton County Transit	7.375
563798500	State. Benton County Transit, St Cloud Area	7.875
563798502	State. Benton County Transit, St Cloud Area	7.875
563798600	State. Benton County Transit	7.375
563798603	State. Benton County Transit	7.375
563798604	State. Benton County Transit, St Cloud Area	7.875
563798605	State. Benton County Transit	7.375
563798606	State. Benton County Transit, St Cloud Area	7.875
563798607	State. Benton County Transit	7.375
563798608	State. Benton County Transit, St Cloud Area	7.875
563798610	State. Benton County Transit	7.375
563798710	State. Benton County Transit	7.375
563798711	State. Benton County Transit, St Cloud Area	7.875
563798712	State. Benton County Transit	7.375
563799301	State. Benton County Transit	7.375
563799302	State. Benton County Transit, St Cloud Area	7.875
563799303	State. Benton County Transit	7.375
563799409	State. Benton County Transit	7.375
563799410	State, Sherburne	7.375
563799411	State, Sherburne	7.375
563799412	State. Benton County Transit	7.375
563799447	State. Benton County Transit	7.375
563799448	State. Benton County Transit, St Cloud Area	7.875
563799449	State. Benton County Transit	7.375
563799459	State. Benton County Transit	7.375
563799460	State, Sherburne	7.375
563799461	State. Benton County Transit	7.375
563799463	State. Benton County Transit	7.375
563799464	State. Benton County Transit, St Cloud Area	7.875
563799465	State. Benton County Transit	7.375
563799466	State. Benton County Transit, St Cloud Area	7.875
